Manufacturer,Model,Variant,TOTAL,2005,2004,2003,2002,2001,2000,1999,1998,TOTAL,1997,1996,1995,1994,1993,1992,1991,Pre-1991,Umbral,
Min_Smin_Ford Corporation,Fiesta Mk5,LX,164,8,46,71,28,5,6,0,0,164,0,0,0,0,0,0,0,0,Si,
Min_Smin_Ford Corporation,Fiesta Mk5,ZETEC,542,74,65,93,63,56,161,30,0,542,0,0,0,0,0,0,0,0,Si,
Min_Smin_Ford Corporation,Fiesta Mk5,Other,419,55,59,50,78,158,11,8,0,419,0,0,0,0,0,0,0,0,Si,
Min_Smin_Ford Corporation,Fusion,All,91,16,28,44,3,0,0,0,0,91,0,0,0,0,0,0,0,0,Si,
Min_Smin_Ford Corporation,KA& KA 3,All,944,50,83,109,144,161,103,104,96,944,90,4,0,0,0,0,0,0,Si,
Min_Smin_Ford Corporation,Sportka,All,26,3,16,7,0,0,0,0,0,26,0,0,0,0,0,0,0,0,No,
Min_Smin_Ford Corporation,Streetka,All,49,5,20,24,0,0,0,0,0,49,0,0,0,0,0,0,0,0,No,
Min_Smin_Honda,Jazz,All,99,20,42,20,17,0,0,0,0,99,0,0,0,0,0,0,0,0,Si,
Min_Smin_Honda,Logo,All,4,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,No,
Min_Smin_Hyundai,Amica,All,34,0,0,0,10,11,13,0,0,34,0,0,0,0,0,0,0,0,No,
Min_Smin_Hyundai,Atoz,All,28,0,0,0,0,0,7,17,4,28,0,0,0,0,0,0,0,0,No,
Min_Smin_Hyundai,Getz,All,40,9,16,15,0,0,0,0,0,40,0,0,0,0,0,0,0,0,No,
Min_Smin_Kia,Pride,All,97,0,0,0,0,0,4,6,2,97,6,8,8,22,20,14,7,0,Si,
Min_Smin_Mazda,121,All,24,0,0,0,0,0,0,0,8,24,2,2,0,0,0,0,2,10,No,
Min_Smin_Mazda,2,All,5,2,0,3,0,0,0,0,0,5,0,0,0,0,0,0,0,0,No,
Min_Smin_Mazda,Demio,All,21,0,0,0,0,7,6,4,4,21,0,0,0,0,0,0,0,0,No,
Min_Smin_Mazda,Premacy,All,21,0,2,3,5,0,7,4,0,21,0,0,0,0,0,0,0,0,No,
Min_Smin_MCC,Smart,All,147,20,37,35,28,23,4,0,0,147,0,0,0,0,0,0,0,0,Si,
Min_Smin_Mercedes,A Class,All,423,11,33,56,49,88,74,91,21,423,0,0,0,0,0,0,0,0,Si,
Min_Smin_Nissan/Datsun,Micra,Colette,232,0,0,0,0,0,0,0,0,232,0,0,0,0,0,0,0,232,Si,
Min_Smin_Nissan/Datsun,Micra,Equation,44,0,0,0,0,0,0,15,29,44,0,0,0,0,0,0,0,0,No,
Min_Smin_Nissan/Datsun,Micra,GL,45,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,45,No,
Min_Smin_Nissan/Datsun,Micra,GS,551,0,0,0,0,0,0,0,0,551,0,0,0,0,0,36,107,408,Si,
Min_Smin_Nissan/Datsun,Micra,GSX,430,0,0,0,0,0,0,0,0,430,0,0,0,0,0,0,72,358,Si,
Min_Smin_Nissan/Datsun,Micra,GX,93,0,0,0,0,2,0,21,31,93,14,25,0,0,0,0,0,0,Si,
Min_Smin_Nissan/Datsun,Micra,L Shape,89,0,0,0,0,0,0,0,8,89,40,41,0,0,0,0,0,0,Si,
Min_Smin_Nissan/Datsun,Micra,L& LX,1319,0,0,0,2,0,0,0,0,1319,0,21,233,254,334,353,0,122,Si,
Min_Smin_Nissan/Datsun,Micra,LS,1395,0,0,0,0,0,0,2,0,1395,0,0,0,0,0,164,408,821,Si,
Min_Smin_Nissan/Datsun,Micra,Profile,30,0,0,0,0,0,15,15,0,30,0,0,0,0,0,0,0,0,No,
Min_Smin_Nissan/Datsun,Micra,S& SE,281,46,47,52,43,54,31,2,0,281,0,6,0,0,0,0,0,0,Si,
Min_Smin_Nissan/Datsun,Micra,SI,6,0,0,0,0,0,0,0,6,6,0,0,0,0,0,0,0,0,No,
Min_Smin_Nissan/Datsun,Micra,SLX,59,0,0,0,0,0,0,0,2,59,2,2,4,13,29,7,0,0,No,
Min_Smin_Nissan/Datsun,Micra,SR,8,0,0,0,0,0,0,0,4,8,4,0,0,0,0,0,0,0,No,
Min_Smin_Nissan/Datsun,Micra,Other,857,13,26,20,42,30,39,57,51,857,28,19,57,161,67,41,5,201,Si,
Min_Smin_Perodua,Kelisa,All,3,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,No,
Min_Smin_Peugeot,106,Escapade,52,0,0,0,0,0,0,0,0,52,0,50,2,0,0,0,0,0,No,
Min_Smin_Peugeot,106,GTI,44,0,0,0,2,0,0,9,21,44,12,0,0,0,0,0,0,0,No,
Min_Smin_Peugeot,106,Rallye,6,0,0,0,0,0,0,0,0,6,0,0,2,4,0,0,0,0,No,
Min_Smin_Peugeot,106,XL,50,0,0,0,0,0,0,0,14,50,26,10,0,0,0,0,0,0,No,
Min_Smin_Peugeot,106,XLD,24,0,0,0,0,0,0,0,0,24,14,10,0,0,0,0,0,0,No,
Min_Smin_Peugeot,106,XN,184,0,0,0,0,0,0,0,10,184,24,14,15,13,40,66,2,0,Si,
Min_Smin_Peugeot,106,XND,108,0,0,0,0,0,0,0,2,108,14,6,23,30,33,0,0,0,Si,
Min_Smin_Peugeot,106,XR,104,0,0,0,1,3,6,15,23,104,0,4,0,13,16,18,5,0,Si,
Min_Smin_Peugeot,106,XRD,37,0,0,0,0,0,0,0,2,37,2,4,2,11,16,0,0,0,No,
Min_Smin_Peugeot,106,XS,8,0,0,0,0,0,0,0,2,8,4,2,0,0,0,0,0,0,No,
Min_Smin_Peugeot,106,XSI,29,0,0,0,0,0,0,0,0,29,0,0,0,7,4,18,0,0,No,
Min_Smin_Peugeot,106,XT,26,0,0,0,0,0,0,0,0,26,2,2,0,0,9,11,2,0,No,
Min_Smin_Peugeot,106,XTD,8,0,0,0,0,0,0,0,0,8,2,0,2,2,2,0,0,0,No,
Min_Smin_Peugeot,106,Zest,247,0,0,2,10,11,48,106,70,247,0,0,0,0,0,0,0,0,Si,
Min_Smin_Peugeot,106,Other,491,0,0,10,42,32,24,0,25,491,8,12,133,132,73,0,0,0,Si,
Min_Smin_Peugeot,107,All,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,
Min_Smin_Peugeot,205,GL,75,0,0,0,0,0,0,0,0,75,0,0,0,0,7,11,0,57,No,
Min_Smin_Peugeot,205,GR& XT& Lacoste,73,0,0,0,0,0,0,0,0,73,0,0,0,0,2,11,12,48,No,
Min_Smin_Peugeot,205,GRD& GLD& XLD,172,0,0,0,0,0,0,0,0,172,0,0,0,0,2,11,37,122,Si,
Min_Smin_Peugeot,205,GRDT& XRDT,4,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,No,
Min_Smin_Peugeot,205,GT,17,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,5,12,No,
Min_Smin_Peugeot,205,GTI,138,0,0,0,0,0,0,0,0,138,0,0,0,0,0,7,14,117,Si,
Min_Smin_Peugeot,205,XL,59,0,0,0,0,0,0,0,0,59,0,0,0,0,7,7,12,33,No,
Min_Smin_Peugeot,205,XR,12,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,12,No,
Min_Smin_Peugeot,205,XS,53,0,0,0,0,0,0,0,0,53,0,0,0,0,0,0,5,48,No,
Min_Smin_Peugeot,205,Other& GTX,590,0,0,0,0,0,0,0,0,590,0,19,42,28,60,119,121,201,Si,
Min_Smin_Peugeot,206,All,2190,124,279,340,353,407,330,310,47,2190,0,0,0,0,0,0,0,0,Si,
Min_Smin_Peugeot,1007,All,2,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,No,
Min_Smin_Renault,4& 5& 6& 8& 10,All,507,0,0,0,0,0,0,0,0,507,0,8,51,41,38,11,14,344,Si,
Min_Smin_Renault,Clio,Authentique,134,6,21,30,45,32,0,0,0,134,0,0,0,0,0,0,0,0,Si,
Min_Smin_Renault,Clio,Dynamique,360,33,98,74,99,56,0,0,0,360,0,0,0,0,0,0,0,0,Si,
Min_Smin_Renault,Clio,Expression,244,11,37,61,76,59,0,0,0,244,0,0,0,0,0,0,0,0,Si,
Min_Smin_Renault,Clio,RL,497,0,0,0,0,0,2,0,18,497,127,128,70,50,33,48,21,0,Si,
Min_Smin_Renault,Clio,RN,487,0,0,0,0,65,66,93,61,487,26,14,11,41,60,27,23,0,Si,
Min_Smin_Renault,Clio,RT,506,0,0,0,2,0,6,28,29,506,20,29,49,91,82,112,58,0,Si,
Min_Smin_Renault,Clio,Other& Williams,979,41,50,106,104,59,102,72,72,979,26,10,130,80,58,57,12,0,Si,
Min_Smin_Renault,Modus,All,24,14,10,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,No,
Min_Smin_Rover Cars,100& 111& 114& 115& 1100,All,571,0,0,0,0,0,0,2,37,571,104,165,256,7,0,0,0,0,Si,
Min_Smin_Rover Cars,25,All,603,5,24,59,113,142,251,9,0,603,0,0,0,0,0,0,0,0,Si,
